# Chiet suat Acrylic PMMA (Cot 1: nm, Cot 2: Index)
200.0	1.6001
210.0	1.5898
220.0	1.5808
230.0	1.5730
240.0	1.5662
250.0	1.5601
260.0	1.5547
270.0	1.5499
280.0	1.5457
290.0	1.5418
300.0	1.5383
310.0	1.5352
320.0	1.5324
330.0	1.5298
340.0	1.5274
350.0	1.5252
360.0	1.5232
370.0	1.5214
380.0	1.5197
390.0	1.5182
400.0	1.5167
410.0	1.5154
420.0	1.5141
430.0	1.5130
440.0	1.5119
450.0	1.5109
460.0	1.5099
470.0	1.5090
480.0	1.5082
490.0	1.5074
500.0	1.5067
510.0	1.5060
520.0	1.5054
530.0	1.5047
540.0	1.5042
550.0	1.5036
560.0	1.5031
570.0	1.5026
580.0	1.5021
590.0	1.5017
600.0	1.5013
610.0	1.5009
620.0	1.5005
630.0	1.5001
640.0	1.4998
650.0	1.4994
660.0	1.4991
670.0	1.4988
680.0	1.4985
690.0	1.4982
700.0	1.4980
710.0	1.4977
720.0	1.4975
730.0	1.4973
740.0	1.4970
750.0	1.4968
760.0	1.4966
770.0	1.4964
780.0	1.4962
790.0	1.4960
800.0	1.4959
